"","County","Date","Year","taxon_name","mass","sex","tail","wing.chord","anterior.culmen","posterior.culmen","tarsus","Age","mean_trachea_length","trachea.diameter","sample_year","data.origin","NK"
"159","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,530,NA,111,230,"ADULT",NA,NA,86,"NMDGF",NA
"160","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,545,NA,98,221,"ADULT",NA,NA,86,"NMDGF",NA
"161","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,530,NA,100,222,"ADULT",NA,NA,86,"NMDGF",NA
"162","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,512,NA,103,247,"ADULT",NA,NA,86,"NMDGF",NA
"163","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,526,NA,107,255,"ADULT",NA,NA,86,"NMDGF",NA
"164","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,560,NA,105,NA,"ADULT",NA,NA,86,"NMDGF",NA
"165","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,507,NA,103,231,"ADULT",NA,NA,86,"NMDGF",NA
"166","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,536,NA,103,NA,"ADULT",NA,NA,86,"NMDGF",NA
"167","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,511,NA,103,229,"ADULT",NA,NA,86,"NMDGF",NA
"168","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,512,NA,97,248,"ADULT",NA,NA,86,"NMDGF",NA
"169","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,542,NA,104,238,"ADULT",NA,NA,86,"NMDGF",NA
"170","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,539,NA,104,237,"ADULT",NA,NA,86,"NMDGF",NA
"171","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,498,NA,99,218,"ADULT",NA,NA,86,"NMDGF",NA
"172","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,538,NA,96,232,"ADULT",NA,NA,86,"NMDGF",NA
"173","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,558,NA,106,249,"ADULT",NA,NA,86,"NMDGF",NA
"174","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,554,NA,97,223,"ADULT",NA,NA,86,"NMDGF",NA
"175","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,530,NA,93,219,"ADULT",NA,NA,86,"NMDGF",NA
"176","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,510,NA,95,238,"ADULT",NA,NA,86,"NMDGF",NA
"177","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,520,NA,104,212,"ADULT",NA,NA,86,"NMDGF",NA
"178","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,513,NA,95,214,"ADULT",NA,NA,86,"NMDGF",NA
"179","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,518,NA,94,223,"ADULT",NA,NA,86,"NMDGF",NA
"180","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,540,NA,93,230,"ADULT",NA,NA,86,"NMDGF",NA
"181","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,548,NA,98,231,"ADULT",NA,NA,86,"NMDGF",NA
"182","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,NA,92,109,230,"ADULT",NA,NA,86,"NMDGF",NA
"183","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,521,82,101,217,"ADULT",NA,NA,86,"NMDGF",NA
"184","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,534,NA,106,262,"ADULT",NA,NA,86,"NMDGF",NA
"185","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,564,NA,103,258,"ADULT",NA,NA,86,"NMDGF",NA
"186","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,505,NA,100,229,"ADULT",NA,NA,86,"NMDGF",NA
"187","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,557,NA,101,268,"ADULT",NA,NA,86,"NMDGF",NA
"188","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,537,NA,101,234,"ADULT",NA,NA,86,"NMDGF",NA
"189","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,509,NA,102,249,"ADULT",NA,NA,86,"NMDGF",NA
"190","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,539,NA,100,217,"ADULT",NA,NA,86,"NMDGF",NA
"191","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,510,NA,92,226,"ADULT",NA,NA,86,"NMDGF",NA
"192","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,535,NA,114,222,"ADULT",NA,NA,86,"NMDGF",NA
"193","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,540,NA,106,259,"ADULT",NA,NA,86,"NMDGF",NA
"194","3",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,551,NA,98,232,"ADULT",NA,NA,86,"NMDGF",NA
